m_size,language,algorithm,time,l1_cm,l2_cm
4096,cpp,2,65.699,17822802326.400,18002797517.600
6144,cpp,2,217.985,60123002890.400,63425957374.600
8192,cpp,2,547.802,142368651442.000,163334488335.200
10240,cpp,2,1009.997,277800835071.800,344601688382.800
