600,1,0.465,245726164.000,43227149.000
600,2,0.210,27160711.000,54796527.000
1000,1,2.706,1229179857.000,336582361.000
1000,2,1.037,126561039.000,252695246.000
1400,1,7.216,3514317162.000,1502931428.000
1400,2,2.892,355355778.000,705879792.000
1800,1,28.854,9077910318.000,7755938811.000
1800,2,6.059,787800003.000,1495528040.000
2200,1,61.845,17673126571.000,25033069898.000
2200,2,11.251,2109917560.000,2755569875.000
2600,1,118.894,30906748098.000,51502336648.000
2600,2,21.024,4384827756.000,4563277021.000
3000,1,189.301,50334594893.000,93333013747.000
3000,2,29.243,6759260092.000,6969488364.000
4000,1,619.677,135391179019.000,249698634843.000
4000,2,68.765,16061715526.000,16736823615.000
6000,1,1958.354,460773984554.000,1080361227866.000
6000,2,204.627,54153539242.000,58997184840.000
